Gemeente;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2020_opmerkingen;2021;2021_opmerkingen;2022;2022_opmerkingen;2023;2023_opmerkingen;2024;2024_opmerkingen;2025;2025_opmerkingen;2026;2026_opmerkingen
Hulshout;1200;1200;1300;1300;1300;1300;1300;1300;1300;1300;818,64;818,64;818,64;;818,64;;818,64;;818,64;;818,64;;818,64;;896;
Ichtegem;1600;1600;1600;1600;1600;1600;1700;1700;1700;1700;1070;1070;1070;;1070;;1070;;1070;;1070;;1070;;1070;
Ieper;1500;1500;1500;1500;1500;1500;1500;1500;1500;1500;945;945;945;;945;;945;;945;;945;;945;;945;
Ingelmunster;1700;1700;1700;1700;1700;1700;1950;1950;1950;1950;1228;1228;1228;;1228;;1228;;1228;;1228;;1228;;1228;
Izegem;1800;1800;1800;1800;1800;1800;1800;1800;1800;1800;1132,29;1132,29;1132,29;;1132,29;;1132,29;;1132,29;;1132,29;;1132,29;;1132,29;
Jabbeke;1450;1450;1450;1450;1450;1450;1450;1550;1550;1550;976;976;976;;976;;976;;976;;976;;976;;976;
Kalmthout;1100;1100;1100;1100;1100;1100;1100;1100;1100;1100;690;690;690;;690;;690;;690;;690;;690;;690;
Kampenhout;950;950;950;950;950;950;1350;1350;1350;1350;850;850;850;;850;;850;;850;;850;;850;;850;
Kapellen;700;700;700;700;700;700;700;875;875;875;551;551;551;;551;;551;;589;;589;;589;;589;
Kapelle-op-den-Bos;1300;1300;1300;1300;1300;1300;1300;1300;1300;1300;818;818;818;;818;;818;;818;;818;;818;;895;4 categorieën: 895 / 1080 / 1145 / 1345
Kaprijke;1200;1200;1200;1200;1200;1200;1200;1200;1200;1200;756;756;756;;756;;756;;756;;756;;756;;825;4 categorieën: 825 / 875 / 1200 / 1400
Kasterlee;925;925;925;925;925;975;975;975;975;975;614;614;714;;714;;714;;714;;714;;714;;714;
Keerbergen;875;855;835;815;815;1150;1150;1150;1150;1150;577,46;577,46;577,46;;577,46;;577,46;;577,46;;577,46;;577,46;;577,46;
Kinrooi;1350;1350;1350;1350;1350;1350;1350;1350;1350;1350;890;890;890;;890;;890;;890;;890;;940;;940;
Kluisbergen;1250;1250;1250;1250;1250;1250;1450;1450;1450;1350;850;850;850;;850;;850;;850;;850;;850;;950;
Knesselare (t/m 2018);1300;1300;1650;1650;1650;1650;1650;1650;1650;1650;1039;;;;;;;;;;;;;;;
